Title,Location,Salary,Link
ASPICE Specialist,Poznan,No salary information,https://www.infopraca.pl/praca/aspice-specialist/poznan/17937027
Application Maintenance Engineer,Warszawa,No salary information,https://www.infopraca.pl/praca/application-maintenance-engineer/warszawa/17964028
IT Project Manager,Warszawa,No salary information,https://www.infopraca.pl/praca/it-project-manager/warszawa/17935756
Data Analyst,Warszawa,No salary information,https://www.infopraca.pl/praca/data-analyst/warszawa/17964023
Data Programmer,Warszawa,No salary information,https://www.infopraca.pl/praca/data-programmer/warszawa/17964024
PM Sec,Warszawa,No salary information,https://www.infopraca.pl/praca/pm-sec/warszawa/17964020
Koordynator Projektu,Warszawa,No salary information,https://www.infopraca.pl/praca/koordynator-projektu/warszawa/17956247
Quant Analyst - Wholesale Credit Risk,Warszawa,No salary information,https://www.infopraca.pl/praca/quant-analyst-wholesale-credit-risk/warszawa/17966712
Senior Data Scientist,Warszawa,No salary information,https://www.infopraca.pl/praca/senior-data-scientist/warszawa/17878313
Senior Python Developer,Warszawa,No salary information,https://www.infopraca.pl/praca/senior-python-developer/warszawa/17961255
Technical Lead (Data Hub),Warszawa,No salary information,https://www.infopraca.pl/praca/technical-lead-data-hub/warszawa/17963307
Analityk Biznesowy,Warszawa,No salary information,https://www.infopraca.pl/praca/analityk-biznesowy/warszawa/17940711
Fullstack Developer,Warszawa,No salary information,https://www.infopraca.pl/praca/fullstack-developer/warszawa/17940707
Młodszy Specjalista ds. strategicznego zarządzania przychodami,Warszawa,No salary information,https://www.infopraca.pl/praca/mlodszy-specjalista-ds-strategicznego-zarzadzania-przychodami/warszawa/17940708
Release Coordinator,Warszawa,No salary information,https://www.infopraca.pl/praca/release-coordinator/warszawa/17935175
Frontend Developer (React),Warszawa,No salary information,https://www.infopraca.pl/praca/frontend-developer-react/warszawa/17940702
Agile Coach,Warszawa,No salary information,https://www.infopraca.pl/praca/agile-coach/warszawa/17952819
Product Engineer,Warszawa,No salary information,https://www.infopraca.pl/praca/product-engineer/warszawa/17966109
Frontend Developer,Warszawa,No salary information,https://www.infopraca.pl/praca/frontend-developer/warszawa/17945985
